date,val
25-04-14,57.71
28-04-14,56.14
29-04-14,58.15
30-04-14,59.78
01-05-14,61.15
02-05-14,60.46
05-05-14,61.22
06-05-14,58.53
07-05-14,57.39
08-05-14,56.76
09-05-14,57.24
12-05-14,59.83
13-05-14,59.83
14-05-14,59.23
15-05-14,57.92
16-05-14,58.02
19-05-14,59.21
20-05-14,58.56
21-05-14,60.49
22-05-14,60.52
23-05-14,61.35
27-05-14,63.48
28-05-14,63.51
29-05-14,63.83
30-05-14,63.3
02-06-14,63.08
03-06-14,62.87
04-06-14,63.34
05-06-14,63.19
06-06-14,62.5
09-06-14,62.88
10-06-14,65.77
11-06-14,65.78
12-06-14,64.29
13-06-14,64.5
16-06-14,64.19
17-06-14,64.4
18-06-14,65.6
19-06-14,64.34
20-06-14,64.5
23-06-14,65.37
24-06-14,65.72
25-06-14,67.44
26-06-14,67.13
27-06-14,67.6
30-06-14,67.29
01-07-14,68.06
02-07-14,66.45
03-07-14,66.29
07-07-14,65.29
08-07-14,62.76
09-07-14,64.97
10-07-14,64.87
11-07-14,66.34
14-07-14,67.9
15-07-14,67.16
16-07-14,67.66
17-07-14,66.41
18-07-14,68.42
21-07-14,69.4
22-07-14,69.27
23-07-14,71.29
24-07-14,74.98
25-07-14,75.19
28-07-14,74.92
29-07-14,73.71
30-07-14,74.68
31-07-14,72.65
01-08-14,72.36
04-08-14,73.51
05-08-14,72.69
06-08-14,72.47
07-08-14,73.17
08-08-14,73.06
11-08-14,73.44
12-08-14,72.83
13-08-14,73.77
14-08-14,74.3
15-08-14,73.63
18-08-14,74.59
19-08-14,75.29
20-08-14,74.81
21-08-14,74.57
22-08-14,74.57
25-08-14,75.02
26-08-14,75.96
27-08-14,74.63
28-08-14,73.86
29-08-14,74.82
02-09-14,76.68
03-09-14,75.83
04-09-14,75.95
05-09-14,77.26
08-09-14,77.89
09-09-14,76.67
10-09-14,77.43
11-09-14,77.92
12-09-14,77.48
15-09-14,74.58
16-09-14,76.08
17-09-14,76.43
18-09-14,77
19-09-14,77.91
22-09-14,76.8
23-09-14,78.29
24-09-14,78.54
25-09-14,77.22
26-09-14,78.79
29-09-14,79
30-09-14,79.04
01-10-14,76.55
02-10-14,77.08
03-10-14,77.44
06-10-14,77.56
07-10-14,76.29
08-10-14,77.52
09-10-14,75.91
10-10-14,72.91
13-10-14,72.99
14-10-14,73.59
15-10-14,73.21
16-10-14,72.63
17-10-14,75.95
20-10-14,76.95
21-10-14,78.69
22-10-14,78.37
23-10-14,80.04
24-10-14,80.67
27-10-14,80.28
28-10-14,80.77
29-10-14,75.86
30-10-14,74.11
31-10-14,74.99
03-11-14,73.88
04-11-14,75.76
05-11-14,74.83
06-11-14,75.26
07-11-14,75.6
10-11-14,75
11-11-14,74.61
12-11-14,74.72
13-11-14,74.25
14-11-14,74.88
17-11-14,74.24
18-11-14,74.34
19-11-14,73.33
20-11-14,73.6
21-11-14,73.75
24-11-14,74.01
25-11-14,75.63
26-11-14,77.62
28-11-14,77.7
01-12-14,75.1
02-12-14,75.46
03-12-14,74.88
04-12-14,75.24
05-12-14,76.36
08-12-14,76.52
09-12-14,76.84
10-12-14,76.18
11-12-14,77.73
12-12-14,77.83
15-12-14,76.99
16-12-14,74.69
17-12-14,76.11
18-12-14,78.4
19-12-14,79.88
22-12-14,81.45
23-12-14,80.61
24-12-14,80.77
26-12-14,80.78
29-12-14,80.02
30-12-14,79.22
31-12-14,78.02
02-01-15,78.45
05-01-15,77.19
06-01-15,76.15
07-01-15,76.15
08-01-15,78.18
09-01-15,77.74
12-01-15,76.72
13-01-15,76.45
14-01-15,76.28
15-01-15,74.05
16-01-15,75.18
20-01-15,76.24
21-01-15,76.74
22-01-15,77.65
23-01-15,77.83
26-01-15,77.5
27-01-15,75.78
28-01-15,76.24
29-01-15,78
30-01-15,75.91
02-02-15,74.99
03-02-15,75.4
04-02-15,75.63
05-02-15,75.62
06-02-15,74.47
09-02-15,74.44
10-02-15,75.19
11-02-15,76.51
12-02-15,76.23
13-02-15,75.74
17-02-15,75.6
18-02-15,76.71
19-02-15,79.42
20-02-15,79.9
23-02-15,78.84
24-02-15,78.45
25-02-15,79.56
26-02-15,80.41
27-02-15,78.97
02-03-15,79.75
03-03-15,79.6
04-03-15,80.9
05-03-15,81.21
06-03-15,80
09-03-15,79.44
10-03-15,77.55
11-03-15,77.57
12-03-15,78.93
13-03-15,78.05
16-03-15,78.07
17-03-15,79.36
18-03-15,80.91
19-03-15,82.75
20-03-15,83.8
23-03-15,84.43
24-03-15,85.31
25-03-15,82.92
26-03-15,83.01
27-03-15,83.3
30-03-15,83.2
31-03-15,82.22
01-04-15,81.66
02-04-15,81.56
06-04-15,82.44
07-04-15,82.32
08-04-15,82.28
09-04-15,82.17
10-04-15,82.04
13-04-15,83.01
14-04-15,83.52
15-04-15,82.7
16-04-15,82.31
17-04-15,80.78
20-04-15,83.09
21-04-15,83.62
22-04-15,84.63
23-04-15,82.41
24-04-15,81.53
27-04-15,81.91
28-04-15,80.68
29-04-15,80.46
30-04-15,78.77
01-05-15,78.99
04-05-15,78.81
05-05-15,77.56
06-05-15,78.1
07-05-15,78.42
08-05-15,78.51
11-05-15,78.01
12-05-15,77.46
13-05-15,78.44
14-05-15,81.37
15-05-15,80.42
18-05-15,80.88
19-05-15,80.63
20-05-15,80.55
21-05-15,80.48
22-05-15,80.54
26-05-15,79.34
27-05-15,80.55
28-05-15,80.14
29-05-15,79.19
01-06-15,80.29
02-06-15,80.44
03-06-15,82.44
04-06-15,82.05
05-06-15,82.14
08-06-15,80.67
09-06-15,80.67
10-06-15,82.16
11-06-15,81.83
12-06-15,81.53
15-06-15,80.71
16-06-15,81.06
17-06-15,81.79
18-06-15,82.9
19-06-15,82.51
22-06-15,84.74
23-06-15,87.88
24-06-15,88.86
25-06-15,87.98
26-06-15,88.01
29-06-15,85.8
30-06-15,85.76
01-07-15,86.91
02-07-15,87.28
06-07-15,87.55
07-07-15,87.22
08-07-15,85.65
09-07-15,85.88
10-07-15,87.95
13-07-15,90.1
